Who?	('<SOS>', 'को?', '<EOS>')
What are you looking for, sir?	('<SOS>', 'महोदय, तपाई के खोज्दै हुनुहुन्छ?', '<EOS>')
What high school do you go to?	('<SOS>', 'तपाईं कुन हाईस्कूल जानुहुन्छ?', '<EOS>')
What high school do you go to?	('<SOS>', 'तपाईं कुन हाईस्कूलमा जादै हुनुहुन्छ?', '<EOS>')
What is that big new building?	('<SOS>', 'त्यो ठूलो नयाँ भवन के हो?', '<EOS>')
What's Tom's favorite dessert?	('<SOS>', 'टमको मनपर्ने मिठाई के हो?', '<EOS>')
What's Tom's favorite dessert?	('<SOS>', 'टमको मनपर्ने डेजर्ट के हो?', '<EOS>')
When did you buy this bicycle?	('<SOS>', 'तपाईले यो साइकल कहिले किन्नु भयो?', '<EOS>')
Why are you talking like that?	('<SOS>', 'किन यसरी बोल्दै हुनुहुन्छ ?', '<EOS>')
You haven't met my family yet.	('<SOS>', 'तिमीले मेरो परिवारलाई अझै भेटेका छैनौ।', '<EOS>')
All of my children like Boston.	('<SOS>', 'मेरा सबै बच्चाहरूलाई बोस्टन मन पर्छ।', '<EOS>')
Did you see the game yesterday?	('<SOS>', 'हिजोको खेल हेर्नुभयो ?', '<EOS>')
Don't forget to pack sunscreen.	('<SOS>', 'सनस्क्रिन प्याक गर्न नबिर्सनुहोस्।', '<EOS>')
February is the shortest month.	('<SOS>', 'फेब्रुअरी सबैभन्दा छोटो महिना हो।', '<EOS>')
He's popular with the students.	('<SOS>', 'उनी विद्यार्थीमाझ लोकप्रिय छन्।', '<EOS>')
He's popular with the students.	('<SOS>', 'ऊ विद्यार्थीमाझ लोकप्रिय छ।', '<EOS>')
I didn't do all this by myself.	('<SOS>', 'यो सब मैले एक्लै गरेको हैन ।', '<EOS>')
I didn't want to go, but I did.	('<SOS>', 'मलाई जान मन थिएन, तर म गएँ।', '<EOS>')
I didn't want to take a chance.	('<SOS>', 'मलाई मौका लिन मन लागेन ।', '<EOS>')
I feel happy when I'm with you.	('<SOS>', 'तिम्रो साथमा हुँदा मलाई खुसी लाग्छ।', '<EOS>')
I have a lot of homework to do.	('<SOS>', 'म संग गृहकार्य धेरै छ।', '<EOS>')
I haven't decided anything yet.	('<SOS>', 'मैले अझै केही निर्णय गरेको छैन।', '<EOS>')
I haven't decided what I'll do.	('<SOS>', 'मैले के गर्ने भन्ने निर्णय गरेको छैन।', '<EOS>')
I haven't done anything so far.	('<SOS>', 'मैले अहिलेसम्म केही गरेको छैन।', '<EOS>')
I need to have another surgery.	('<SOS>', 'मलाई अर्को शल्यक्रिया गर्न आवश्यक छ।', '<EOS>')
I think Tom gave up too easily.	('<SOS>', 'मलाई लाग्छ टमले सजिलै हार मान्यो।', '<EOS>')
I thought Tom would be pleased.	('<SOS>', 'मैले सोचें कि टम खुसी हुनेछ।', '<EOS>')
I told Tom to lose some weight.	('<SOS>', 'मैले टमलाई केही तौल घटाउन भनें।', '<EOS>')
I want you to watch this video.	('<SOS>', 'म तपाईले यो भिडियो हेर्नुहोस् भन्ने चाहन्छु।', '<EOS>')
I was always very close to Tom.	('<SOS>', 'म सधैं टमसँग धेरै नजिक थिए।', '<EOS>')
I was working when it happened.	('<SOS>', 'यो घटना हुँदा म काम गरिरहेको थिएँ।', '<EOS>')
I'd like to drink a cup of tea.	('<SOS>', 'म एक गिलास चिया पिउन चाहान्छु।', '<EOS>')
I'll be back in thirty minutes.	('<SOS>', 'म तीस मिनेटमा फर्कने छु।', '<EOS>')
I'm Tom. This is my wife, Mary.	('<SOS>', 'म टम हुँ। यिनी मेरी श्रीमती मेरी हुन्।', '<EOS>')
I'm friends with Tom's brother.	('<SOS>', 'म टमको भाईसँग साथी छु।', '<EOS>')
I'm friends with Tom's brother.	('<SOS>', 'म टमको दाईसँग साथी छु।', '<EOS>')
I'm going to break up with Tom.	('<SOS>', 'म टमसँग ब्रेकअप गर्न जाँदैछु।', '<EOS>')
I'm now used to wearing a mask.	('<SOS>', 'मलाई अहिले मास्क लगाउने बानी परेको छ ।', '<EOS>')
I'm pretty sure Tom's Canadian.	('<SOS>', 'म टम क्यानेडियन हो भनेर पक्का छु।', '<EOS>')
I've already found a volunteer.	('<SOS>', 'मैले पहिले नै स्वयंसेवक फेला पारेको छु।', '<EOS>')
I've finished cleaning my room.	('<SOS>', 'मैले मेरो कोठा सफा गरिसकेको छु।', '<EOS>')
Is Tom good at speaking French?	('<SOS>', 'के टम फ्रान्सेली बोल्नमा राम्रो छ?', '<EOS>')
It started raining really hard.	('<SOS>', 'भारी पानी पर्न थाल्यो।', '<EOS>')
It'll be much better next time.	('<SOS>', 'यो अर्को पटक धेरै राम्रो हुनेछ।', '<EOS>')
It's healthy to breathe deeply.	('<SOS>', 'गहिरो सास फेर्नु स्वस्थकर हुन्छ।', '<EOS>')
Kyiv is the capital of Ukraine.	('<SOS>', 'कीभ युक्रेनको राजधानी हो।', '<EOS>')
Let me think over until Monday.	('<SOS>', 'मलाई सोमबार सम्म सोच्न दिनुहोस्।', '<EOS>')
Madrid is the capital of Spain.	('<SOS>', 'म्याड्रिड स्पेनको राजधानी हो।', '<EOS>')
None of those books are useful.	('<SOS>', 'यस्ता किताबहरु सबै मेरो लागि बेकार छन्।', '<EOS>')
Paris is the capital of France.	('<SOS>', 'पेरिस फ्रान्सको राजधानी हो।', '<EOS>')
Payment is required in advance.	('<SOS>', 'अग्रिम भुक्तानी आवश्यक छ।', '<EOS>')
Please call me Tom from now on.	('<SOS>', 'कृपया मलाई अब देखि टम भन्ने गर्नुहोस्।', '<EOS>')
Please call me Tom from now on.	('<SOS>', 'कृपया मलाई अब देखि टम भनेर बोलाउनुहोस्।', '<EOS>')
She frankly admitted her guilt.	('<SOS>', 'उनले इमानदारीपूर्वक आफ्नो अपराध स्वीकार गरिन्।', '<EOS>')
She is always dressed in black.	('<SOS>', 'उनी सधैं कालो लुगा लगाउँछिन्।', '<EOS>')
Tell me why you don't like Tom.	('<SOS>', 'मलाई भन्नुहोस् कि तपाई टमलाई किन मन पराउनुहुन्न।', '<EOS>')
That book is written in French.	('<SOS>', 'त्यो पुस्तक फ्रान्सेलीमा लेखिएको छ।', '<EOS>')
The capital of Ukraine is Kyiv.	('<SOS>', 'युक्रेनको राजधानी कीभ हो।', '<EOS>')
The students helped each other.	('<SOS>', 'विद्यार्थीहरूले एकअर्कालाई सहयोग गरे।', '<EOS>')
Things didn't turn out so well.	('<SOS>', 'चीजहरू त्यति राम्ररी बाहिर आएनन्।', '<EOS>')
Those roses are very beautiful.	('<SOS>', 'त्यो गुलाब एकदमै सुन्दर छ।', '<EOS>')
Tom and Mary are great friends.	('<SOS>', 'टम र मेरी महान साथी हुन्।', '<EOS>')
Tom asked me several questions.	('<SOS>', 'टमले मलाई धेरै प्रश्नहरू सोधे।', '<EOS>')
Tom asked me several questions.	('<SOS>', 'टमले मलाई धेरै प्रश्नहरू सोध्यो।', '<EOS>')
Tom bought a very cheap camera.	('<SOS>', 'टमले एकदमै सस्तो क्यामेरा किन्यो।', '<EOS>')
Tom decided not to go swimming.	('<SOS>', 'टमले पौडी खेल्न नजाने निर्णय गरे।', '<EOS>')
Tom doesn't usually wear a hat.	('<SOS>', 'टमले सामान्यतया टोपी लगाउँदैन।', '<EOS>')
Tom has been bitten by a snake.	('<SOS>', 'टमलाई सर्पले टोकेको छ।', '<EOS>')
Tom is working as a waiter now.	('<SOS>', 'टम अहिले वेटरको रूपमा काम गर्दैछ।', '<EOS>')
Tom knows he shouldn't be here.	('<SOS>', 'टमलाई थाहा छ ऊ यहाँ हुनुहुँदैन।', '<EOS>')
Tom obviously needed some help.	('<SOS>', 'टमलाई स्पष्ट रूपमा केही मद्दत चाहिन्छ।', '<EOS>')
Tom offered to buy Mary a beer.	('<SOS>', 'टमले मेरीलाई बियर किनिदिने प्रस्ताव गरे।', '<EOS>')
Tom put the knife on the table.	('<SOS>', 'टमले चक्कु टेबुलमा राख्यो।', '<EOS>')
Tom rolled his shirtsleeves up.	('<SOS>', 'टमले आफ्नो शर्टको बाहुला माथि घुमाए।', '<EOS>')
Tom rolled up his shirtsleeves.	('<SOS>', 'टमले आफ्नो शर्टका बाहुलाहरू सुर्कियो।', '<EOS>')
Tom was as nervous as Mary was.	('<SOS>', 'टम मेरी जस्तै नर्भस थियो।', '<EOS>')
Tom was detained by the police.	('<SOS>', 'टमलाई प्रहरीले नियन्त्रणमा लिएको थियो।', '<EOS>')
Tom was hiding in the basement.	('<SOS>', 'टम बेसमेन्टमा लुकेको थियो।', '<EOS>')
We really appreciate your help.	('<SOS>', 'हामी तपाईंको सहयोगको साँच्चै कदर गर्छौं।', '<EOS>')
What does a liter of milk cost?	('<SOS>', 'एक लिटर दूधको मूल्य कति पर्छ?', '<EOS>')
What kind of music do you make?	('<SOS>', 'कस्तो प्रकारको संगीत रचना गर्नुहुन्छ?', '<EOS>')
What language are you speaking?	('<SOS>', 'तपाई कुन भाषा बोल्नुहुन्छ?', '<EOS>')
What language are you speaking?	('<SOS>', 'कुन भाषा बोल्दै हुनुहुन्छ ?', '<EOS>')
What's Mary's boyfriend's name?	('<SOS>', 'मेरीको प्रेमीको नाम के हो?', '<EOS>')
Where do you go to high school?	('<SOS>', 'तपाईं कुन हाईस्कूल जानुहुन्छ?', '<EOS>')
Where do you go to high school?	('<SOS>', 'तपाईं कुन हाईस्कूलमा जादै हुनुहुन्छ?', '<EOS>')
Who's your downstairs neighbor?	('<SOS>', 'तपाईको तलको छिमेकी को हो?', '<EOS>')
Why didn't anyone say anything?	('<SOS>', 'किन कसैले केही भनेनन् ?', '<EOS>')
Will anyone care if we do that?	('<SOS>', 'हामीले त्यसो गर्\u200dयौं भने कसैले वास्ता गर्छ?', '<EOS>')
You need someone you can trust.	('<SOS>', 'तपाईलाई विश्वास गर्न सक्ने व्यक्ति चाहिन्छ।', '<EOS>')
Zoology is my favorite subject.	('<SOS>', 'प्राणीशास्त्र मेरो मनपर्ने विषय हो।', '<EOS>')
"Who is it?" "It's your mother."	('<SOS>', '"उँहा को हुनुहुन्छ?" "मेरी आमा।"', '<EOS>')
Are you still afraid to do that?	('<SOS>', 'के तपाई अझै पनि त्यसो गर्न डराउनुहुन्छ?', '<EOS>')
Aren't you allergic to anything?	('<SOS>', 'तपाईलाई कुनै कुरामा एलर्जी छैन?', '<EOS>')
Beijing is the capital of China.	('<SOS>', 'बेइजिङ चीनको राजधानी हो।', '<EOS>')
Being modest never hurt anybody.	('<SOS>', 'नम्र हुनाले कसैलाई कहिल्यै हानि पुर्याउदैन।', '<EOS>')
Contact Tom Jackson for details.	('<SOS>', 'विवरणका लागि टम ज्याक्सनलाई सम्पर्क गर्नुहोस्।', '<EOS>')
Could I have something to drink?	('<SOS>', 'के म पिउन केहि पाउन सक्छु?', '<EOS>')
Delete Tom's name from the list.	('<SOS>', 'सूचीबाट टमको नाम मेटाउनुहोस्।', '<EOS>')
Everyone knows that you hit Tom.	('<SOS>', 'सबैलाई थाहा छ कि तपाईले टमलाई हिर्काउनुभयो।', '<EOS>')
Everything was clear and simple.	('<SOS>', 'सबै कुरा स्पष्ट र सरल थियो।', '<EOS>')
Excuse me. Do you speak English?	('<SOS>', 'मलाईं माफ गर्नुहोस्। के तपाईँ अङ्ग्रेजी बोल्नुहुन्छ?', '<EOS>')
Have you ever made marshmallows?	('<SOS>', 'के तपाईंले कहिल्यै मार्शमेलो बनाउनुभएको छ?', '<EOS>')
Have you seen any movies lately?	('<SOS>', 'हालसालै कुनै चलचित्र हेर्नुभएको छ?', '<EOS>')
He has no more than 100 dollars.	('<SOS>', 'उहाँसँग १०० डलरभन्दा बढी छैन।', '<EOS>')
How long did you stay in Boston?	('<SOS>', 'तपाईं बोस्टनमा कति लामो बस्नु भयो?', '<EOS>')
How much of this is Tom's fault?	('<SOS>', 'यसमा टमको कत्तिको गल्ती छ?', '<EOS>')
How much of this stuff is yours?	('<SOS>', 'यो सामान तपाईको कति हो?', '<EOS>')
How often do you ride a bicycle?	('<SOS>', 'तपाई कत्तिको पटक साइकल चलाउन हुन्छ?', '<EOS>')
I did not understand him at all.	('<SOS>', 'मैले उसलाई पटक्कै बुझिन।', '<EOS>')
I don't think that you're funny.	('<SOS>', 'मलाई लाग्दैन कि तपाईं हास्यास्पद हुनुहुन्छ।', '<EOS>')
I have more than one girlfriend.	('<SOS>', 'मेरो एक भन्दा बढी प्रेमिका छन्।', '<EOS>')
I have more than one girlfriend.	('<SOS>', 'मे संग एक भन्दा बढी प्रेमिका छन्।', '<EOS>')
I hope our plane leaves on time.	('<SOS>', 'मलाई आशा छ कि हाम्रो विमान समयमै प्रस्थान गर्छ।', '<EOS>')
I probably won't be able to win.	('<SOS>', 'सायद म जित्न सक्दिन होला।', '<EOS>')
I slept for the rest of the day.	('<SOS>', 'म बाँकी दिन सुतेको थिएँ ।', '<EOS>')
I think I'd like to go with you.	('<SOS>', 'मलाई लाग्छ म तपाईंसँग जान चाहन्छु।', '<EOS>')
I think it'll be sunny tomorrow.	('<SOS>', 'भोलि घाम लाग्छ जस्तो लाग्छ।', '<EOS>')
I think that Tom is working now.	('<SOS>', 'मलाई लाग्छ कि टम अहिले काम गरिरहेको छ।', '<EOS>')
I think you worry too much, Tom.	('<SOS>', 'मलाई लाग्छ तपाईं धेरै चिन्तित हुनुहुन्छ, टम।', '<EOS>')
I want to eat breakfast outside.	('<SOS>', 'म बिहानको खाजा बाहिर खान चाहन्छु।', '<EOS>')
I want to punch you in the face.	('<SOS>', 'म तेरो अनुहारमा मुक्का हान्न चाहन्छु।', '<EOS>')
I'll be staying here for a week.	('<SOS>', 'म यहाँ एक हप्ता बस्नेछु।', '<EOS>')
I'll give you anything you want.	('<SOS>', 'म तिमी जे चाहन्छौ त्यहि दिन्छु।', '<EOS>')
I'm hoping we can do that today.	('<SOS>', 'मलाई आशा छ कि आज हामी त्यो गर्न सक्छौं।', '<EOS>')
I'm positive that I can do that.	('<SOS>', 'म त्यो गर्न सक्छु भन्नेमा सकारात्मक छु।', '<EOS>')
I'm pretty sure Tom's competent.	('<SOS>', 'म पक्का छु कि टम सक्षम छ।', '<EOS>')
I'm sure that Tom remembers you.	('<SOS>', 'म पक्का छु कि टमले तपाईलाई सम्झेको छ।', '<EOS>')
I've already spent all my money.	('<SOS>', 'मैले पहिले नै सबै पैसा खर्च गरिसकेको छु।', '<EOS>')
I've been in line all afternoon.	('<SOS>', 'दिउँसो दिनभर लाइनमा बसेको छु ।', '<EOS>')
I've changed my opinion on that.	('<SOS>', 'मैले यसमा मेरो धारणा परिवर्तन गरेको छु।', '<EOS>')
It isn't raining much this year.	('<SOS>', 'यो वर्ष खासै पानी परेको छैन ।', '<EOS>')
It's getting darker outside now.	('<SOS>', 'बाहिर अँध्यारो हुँदैछ।', '<EOS>')
It's not healthy to eat and run.	('<SOS>', 'खाना खाएर दौडनु स्वस्थकर होइन।', '<EOS>')
It's walking distance from here.	('<SOS>', 'यहाँबाट हिड्ने दूरीमा छ।', '<EOS>')
Learning French isn't difficult.	('<SOS>', 'फ्रान्सेली सिक्न गाह्रो छैन।', '<EOS>')
Mary doesn't eat pork, does she?	('<SOS>', 'मेरी सुँगुरको मासु खादिनन् , हैन?', '<EOS>')
May I see your passport, please?	('<SOS>', 'के म तपाईंको पासपोर्ट हेर्न सक्छु?', '<EOS>')
Ottawa is the capital of Canada.	('<SOS>', 'ओटावा क्यानाडाको राजधानी हो।', '<EOS>')
Please don't smoke in this room.	('<SOS>', 'कृपया यस कोठामा धुम्रपान नगर्नुहोस्।', '<EOS>')
The capital of Poland is Warsaw.	('<SOS>', 'पोल्याण्डको राजधानी वारसा हो।', '<EOS>')
The color I like most is orange.	('<SOS>', 'मलाई सबैभन्दा मनपर्ने रङ सुन्तले हो।', '<EOS>')
The exam is coming up next week.	('<SOS>', 'अर्को हप्ता परीक्षा आउँदैछ।', '<EOS>')
The plane flew above the clouds.	('<SOS>', 'विमान बादल माथि उड्यो।', '<EOS>')
The process is very complicated.	('<SOS>', 'प्रक्रिया एकदमै जटिल छ।', '<EOS>')
This is one of Tom's best poems.	('<SOS>', 'यो टमको उत्कृष्ट कविताहरू मध्ये एक हो।', '<EOS>')
Tom and Mary are often together.	('<SOS>', 'टम र मेरी अक्सर सँगै हुन्छन्।', '<EOS>')
Tom and Mary were drinking beer.	('<SOS>', 'टम र मेरी बियर पिइरहेका थिए।', '<EOS>')
Tom did Mary's homework for her.	('<SOS>', 'टमले उनको लागि मेरीको गृहकार्य गरे।', '<EOS>')
Tom didn't look very busy to me.	('<SOS>', 'टम मेरो लागि धेरै व्यस्त देखिएन।', '<EOS>')
Tom is already three hours late.	('<SOS>', 'टम पहिले नै तीन घण्टा ढिलो छ।', '<EOS>')
Tom is an amazing guy, isn't he?	('<SOS>', 'टम एक अचम्मको मान्छे हो, हैन?', '<EOS>')
Tom is my husband's middle name.	('<SOS>', 'टम मेरो श्रीमानको बीचको नाम हो।', '<EOS>')
Tom is my husband's middle name.	('<SOS>', 'टम मेरो पतिको बीचको नाम हो।', '<EOS>')
Tom is still too young to drive.	('<SOS>', 'टम अझै पनि ड्राइभ गर्न को लागी धेरै जवान छ।', '<EOS>')
Tom is working in Australia now.	('<SOS>', 'टम अहिले अस्ट्रेलियामा काम गर्दैछ।', '<EOS>')
Tom left at four in the morning.	('<SOS>', 'टम बिहान चार बजे निस्कियो।', '<EOS>')
Tom left at four in the morning.	('<SOS>', 'टम बिहान चार बजे गए।', '<EOS>')
Tom looked really uncomfortable.	('<SOS>', 'टम साँच्चै असहज देखिन्थ्यो ।', '<EOS>')
Tom never asked me to help Mary.	('<SOS>', 'टमले मलाई कहिल्यै पनी मेरीलाई मद्दत गर्न भनेनन्।', '<EOS>')
Tom plans to go home by himself.	('<SOS>', 'टमले एक्लै घर जाने योजना बनाउँछ।', '<EOS>')
Tom planted a little peach tree.	('<SOS>', 'टमले एउटा सानो आरुको रूख रोपे।', '<EOS>')
Tom said he couldn't believe it.	('<SOS>', 'टमले भने कि उसले यो विश्वास गर्न सक्दैनन्।', '<EOS>')
Tom seemed very full of himself.	('<SOS>', 'टम आफैंमा धेरै भरिएको देखिन्थ्यो।', '<EOS>')
Tom should tell Mary to do that.	('<SOS>', 'टमले मेरीलाई त्यसो गर्न भन्नु पर्छ।', '<EOS>')
Tom thinks that Mary is my name.	('<SOS>', 'टम सोच्छन् कि मेरो नाम मेरी हो।', '<EOS>')
Tom went from Boston to Chicago.	('<SOS>', 'टम बोस्टनबाट शिकागो गए।', '<EOS>')
Tom's dog never barks at anyone.	('<SOS>', 'टमको कुकुर कहिल्यै कसैलाई भुक्दैन।', '<EOS>')
Tom's grandfather couldn't read.	('<SOS>', 'टमका हजुरबुवाले पढ्न सक्नुहुदैन थियो।', '<EOS>')
We should only eat healthy food.	('<SOS>', 'हामीले स्वस्थकर खाना मात्रै खानुपर्छ।', '<EOS>')
Were you popular in high school?	('<SOS>', 'के तपाई हाई स्कूलमा लोकप्रिय हुनुहुन्थ्यो?', '<EOS>')
What do you do to stay in shape?	('<SOS>', 'आफ्नो स्वास्थ्यको लागि ध्यान दिनुपर्ने कुरा के हो?', '<EOS>')
What kind of mushrooms are they?	('<SOS>', 'तिनीहरू कुन प्रकारका च्याउ हुन्?', '<EOS>')
Where do you attend high school?	('<SOS>', 'तपाईं कुन हाईस्कूल जानुहुन्छ?', '<EOS>')
Where do you attend high school?	('<SOS>', 'तपाईं कुन हाईस्कूलमा जादै हुनुहुन्छ?', '<EOS>')
Why don't you have any kids yet?	('<SOS>', 'तपाईका अझै बच्चाहरू किन छैनन्?', '<EOS>')
Why would you like to work here?	('<SOS>', 'किन यहाँ काम गर्न चाहान्छौ?', '<EOS>')
You like older women, don't you?	('<SOS>', 'तपाईलाई वृद्ध महिलाहरू मनपर्छ, हैन?', '<EOS>')
You need to respect the elderly.	('<SOS>', 'ज्येष्ठ नागरिकलाई सम्मान गर्नुपर्छ।', '<EOS>')
You seem to know a lot about me.	('<SOS>', 'तिमीलाई मेरो बारेमा धेरै कुरा थाहा छ जस्तो लाग्छ।', '<EOS>')
Answering that question was hard.	('<SOS>', 'त्यो प्रश्नको जवाफ दिन गाह्रो भयो।', '<EOS>')
Berlin is the capital of Germany.	('<SOS>', 'बर्लिन जर्मनीको राजधानी हो।', '<EOS>')
Can I still get something to eat?	('<SOS>', 'के म अझै पनि खानेकुरा पाउन सक्छु?', '<EOS>')
Can you talk about that a little?	('<SOS>', 'यसबारे अलिकति कुरा गर्न सक्नुहुन्छ?', '<EOS>')
Did you forget your wallet again?	('<SOS>', 'के तपाईंले आफ्नो वालेट फेरि बिर्सनुभयो?', '<EOS>')
Do you know how to change a fuse?	('<SOS>', 'के तपाईंलाई फ्यूज कसरी परिवर्तन गर्ने थाहा छ?', '<EOS>')
Do you know where Tom's house is?	('<SOS>', 'के तपाईलाई थाहा छ टमको घर कहाँ छ?', '<EOS>')
Don't forget to do your homework.	('<SOS>', 'आफ्नो गृहकार्य गर्न नबिर्सनुहोस्।', '<EOS>')
Have you already eaten some cake?	('<SOS>', 'अघिनै केक खाइसक्नु भयो?', '<EOS>')
He has been dead for three years.	('<SOS>', 'उनको मृत्यु भएको तीन वर्ष भयो ।', '<EOS>')
He reads the paper every morning.	('<SOS>', 'ऊ हरेक बिहान पत्रिका पढ्छ।', '<EOS>')
How will the weather be tomorrow?	('<SOS>', 'भोलिको मौसम कस्तो रहनेछ?', '<EOS>')
I didn't really think about that.	('<SOS>', 'मैले साँच्चै यसको बारेमा सोचेको छैन।', '<EOS>')
I don't mind the smell of durian.	('<SOS>', 'मलाई डुरियनको गन्धमा कुनै आपत्ति छैन।', '<EOS>')
I don't want anybody to get hurt.	('<SOS>', 'म कसैलाई चोट पुर्याउन चाहन्न।', '<EOS>')
I gave Tom some milk and cookies.	('<SOS>', 'मैले टमलाई केही दूध र कुकीहरू दिएँ।', '<EOS>')
I haven't decided what to do yet.	('<SOS>', 'मैले अझै के गर्ने निर्णय गरेको छैन।', '<EOS>')
I just downloaded a lot of files.	('<SOS>', 'मैले भर्खरै धेरै फाईलहरू डाउनलोड गरें।', '<EOS>')
I live next door to the toy shop.	('<SOS>', 'म खेलौना पसलको छेउमा बस्छु।', '<EOS>')
I thought Tom might be in Boston.	('<SOS>', 'मैले सोचे कि टम बोस्टन मा हुन सक्छ।', '<EOS>')
I was surprised when Tom told me.	('<SOS>', 'जब टमले मलाई भन्यो म छक्क परें।', '<EOS>')
I've forgotten Tom's wife's name.	('<SOS>', 'मैले टमकी श्रीमतीको नाम बिर्सिए।', '<EOS>')
It is said that he was very rich.	('<SOS>', 'भनिन्छ उनी निकै धनी थिए ।', '<EOS>')
It's colder today than yesterday.	('<SOS>', 'हिजो भन्दा आज चिसो बढेको छ ।', '<EOS>')
London is the capital of England.	('<SOS>', 'लन्डन इङ्गल्याण्ड को राजधानी हो।', '<EOS>')
My brother and I were very close.	('<SOS>', 'मेरो भाइ र म धेरै नजिक थियौं।', '<EOS>')
Never be afraid to make mistakes.	('<SOS>', 'असफलता देखि नडराऊ।', '<EOS>')
Results will be announced Monday.	('<SOS>', 'नतिजा सोमबार घोषणा हुनेछ।', '<EOS>')
The pig is an intelligent animal.	('<SOS>', 'सुँगुर एक बुद्धिमान प्राणी हो।', '<EOS>')
The public has the right to know.	('<SOS>', 'जनतालाई जान्न पाउने अधिकार छ ।', '<EOS>')
There were too many people there.	('<SOS>', 'त्यहाँ धेरै मानिसहरू थिए।', '<EOS>')
There's no time to do that today.	('<SOS>', 'आज त्यो गर्ने समय छैन।', '<EOS>')
This ring is the one Tom gave me.	('<SOS>', 'यो टमले मलाई दिएको एउटा औंठी हो।', '<EOS>')
Tom always gets up at six-thirty.	('<SOS>', 'टम जहिले पनि साढे छ बजे उठ्छ।', '<EOS>')
Tom doesn't express himself well.	('<SOS>', 'टमले आफूलाई राम्रोसँग व्यक्त गर्दैन।', '<EOS>')
Tom gave me this for my birthday.	('<SOS>', 'टमले मलाई मेरो जन्मदिनको लागि यो दिए।', '<EOS>')
Tom has everything under control.	('<SOS>', 'टमको नियन्त्रणमा सबै कुरा छ।', '<EOS>')
Tom is in the hospital, isn't he?	('<SOS>', 'टम अस्पतालमा छ, हैन?', '<EOS>')
Tom is still doing that, I think.	('<SOS>', 'टम अझै पनि त्यही गरिरहेको छ, मलाई लाग्छ।', '<EOS>')
Tom is working in his office now.	('<SOS>', 'टम अहिले आफ्नो कार्यालयमा काम गर्दैछ।', '<EOS>')
Tom isn't here because he's sick.	('<SOS>', 'टम यहाँ छैन किनभने ऊ बिरामी छ।', '<EOS>')
Tom loves pizza and french fries.	('<SOS>', 'टमलाई पिज्जा र फ्रेन्च फ्राइज मन पर्छ।', '<EOS>')
Tom said he was happy to do that.	('<SOS>', 'टमले यसो गर्न पाउँदा खुसी लागेको बताए।', '<EOS>')
Tom was the one who gave me this.	('<SOS>', 'टम एक थियो जसले मलाई यो दियो।', '<EOS>')
We all just sat there and waited.	('<SOS>', 'हामीले बसेर पर्खिने मात्र गर्यौ।', '<EOS>')
We expected Tom to behave better.	('<SOS>', 'हामीले टमले राम्रो व्यवहार गर्ने अपेक्षा गरेका थियौं।', '<EOS>')
What did you do for Father's day?	('<SOS>', 'बुवाको दिनमा के गर्नुभयो ?', '<EOS>')
When was the last time you cried?	('<SOS>', 'तिमी अन्तिम पटक कहिले रोएको थियौ ?', '<EOS>')
Why do you need to borrow my car?	('<SOS>', 'तपाईंले मेरो कार किन सापटी लिनु पर्यो ?', '<EOS>')
You have to go back to Australia.	('<SOS>', 'तपाई अष्ट्रेलिया फर्किनु पर्छ।', '<EOS>')
You must respect senior citizens.	('<SOS>', 'ज्येष्ठ नागरिकलाई सम्मान गर्नुपर्छ।', '<EOS>')
You're going to be my son-in-law.	('<SOS>', 'तपाई मेरो ज्वाइँ बन्दै हुनुहुन्छ।', '<EOS>')
You're in better shape than I am.	('<SOS>', 'तपाईं म भन्दा राम्रो अवस्थामा हुनुहुन्छ।', '<EOS>')
"What are you studying?" "French."	('<SOS>', '"तिमी के पढ्दै छौ?" "फ्रान्सेली भाषा।"', '<EOS>')
An explosion blew the house apart.	('<SOS>', 'विष्फोटले घर ध्वस्त पारेको छ ।', '<EOS>')
Can you pick me up at the station?	('<SOS>', 'के मलाई स्टेशनमा लिन आउन सक्छौ?', '<EOS>')
Can you please explain this to me?	('<SOS>', 'कृपया मलाई यो कुरा बुझाउन सक्नुहुन्छ?', '<EOS>')
Could you leave this book with me?	('<SOS>', 'के तपाईं यो किताब मसँग छोड्न सक्नुहुन्छ?', '<EOS>')
Excuse me, are you a student here?	('<SOS>', 'माफ गर्नुहोस्, के तपाईं यहाँको विद्यार्थी हुनुहुन्छ?', '<EOS>')
French is an interesting language.	('<SOS>', 'फ्रेन्च एउटा रोचक भाषा हो।', '<EOS>')
Have my piece of cake if you like.	('<SOS>', 'यदि तपाईलाई मन पर्यो भने मेरो केकको टुक्रा लिनुहोस्।', '<EOS>')
He had friends all over the world.	('<SOS>', 'संसारभरि उनका साथी थिए ।', '<EOS>')
He is very good at playing violin.	('<SOS>', 'उनी भायोलिन बजाउन निकै माहिर छन् ।', '<EOS>')
He really likes the United States.	('<SOS>', 'उसलाई संयुक्त राज्य अमेरिका मन पर्छ।', '<EOS>')
He was very friendly to everybody.	('<SOS>', 'उनी सबैसँग निकै मिलनसार थिए।', '<EOS>')
He was very friendly to everybody.	('<SOS>', 'उहाँ सबैसँग धेरै मिलनसार हुनुहुन्थ्यो।', '<EOS>')
How could you write such a letter?	('<SOS>', 'तपाई यस्तो पत्र कसरी लेख्न सक्नु हुन्छ ?', '<EOS>')
How could you write such a letter?	('<SOS>', 'तिमीले यस्तो चिठ्ठी कसरी लेख्न सक्यौ?', '<EOS>')
