who?	को?
i don't live in australia now.	म अहिले अस्ट्रेलियामा बस्दिन।
i don't think tom was shocked.	मलाई लाग्दैन कि टम छक्क परेको थियो।
i don't want to study tonight.	मलाई आज राती पढ्न मन छैन।
i forgot to close the windows.	मैले झ्यालहरू बन्द गर्न बिर्सें।
i know what tom is doing here.	टम यहाँ के गर्दैछ भनेर मलाई थाहा छ।
i sent a letter to my parents.	मैले आमाबुवालाई चिठी पठाएँ।
i should've been more careful.	म अझ होसियार हुनुपर्थ्यो।
i shouldn't have been so rude.	म यति असभ्य हुनुहुँदैन थियो।
i sometimes go out for a walk.	कहिले काहिँ घुम्न जान्छु।
i think he was speaking latin.	मलाई लाग्छ उसले ल्याटिन बोलिरहेको थियो।
i think he was speaking latin.	मलाई लाग्छ ऊ ल्याटिन बोल्दै थियो।
i want to eat a piece of cake.	म एक टुक्रा केक खान चाहन्छु।
i want to eat rice with beans.	म गेडागुडी संग भात खान चाहन्छु।
i wonder if that person is ok.	के त्यो मान्छे ठीक छ?
i'd like to be as rich as tom.	म टम जस्तै धनी हुन चाहन्छु।
i'll pay for your lunch today.	आजको खाजाको पैसा म तिर्छु।
i'm happy with what i've seen.	मैले जे देखेको छु त्यसमा म खुसी छु।
i'm sorry to be such a bother.	मलाई यस्तो अप्ठ्यारो भएकोमा माफ गर्नुहोस्।
i'm thinking as fast as i can.	म जति सक्दो छिटो सोच्छु।
i've never heard tom complain.	मैले कहिल्यै टमको गुनासो सुनेको छैन।
it may have rained last night.	सायद हिजो राति पानी परेको थियो।
it wasn't tom who kissed mary.	त्यो टम थिएन जसले मेरीलाई चुम्बन गर्यो।
it's tom's birthday next week.	अर्को हप्ता टमको जन्मदिन हो।
my brother watches television.	मेरो भाइ टेलिभिजन हेर्छ।
my eyes get tired very easily.	मेरा आँखा सजिलै थकित हुन्छन्।
nobody knew why this happened.	यो किन भयो कसैलाई थाहा थिएन।
please don't do that tomorrow.	कृपया भोलि यस्तो नगर्नुहोस्।
please don't do that tomorrow.	कृपया भोलि त्यो नगर्नुहोस्।
stay in bed until next monday.	कृपया सोमबार सम्म आराम गर्नुहोस्।
summer holiday begins in july.	गर्मी बिदा जुलाई मा सुरु हुन्छ।
tell me why you're doing that.	मलाई भन्नुहोस् कि तपाइँ किन त्यसो गर्नुहुन्छ।
thank you very much, everyone.	धेरै धेरै धन्यवाद, सबैलाई।
the capital of japan is tokyo.	जापानको राजधानी टोकियो हो।
the color i like most is blue.	मलाई सबैभन्दा मन पर्ने रङ नीलो हो।
the door of the safe was open.	सेफको ढोका खुला थियो ।
the door of the safe was open.	गल्लाको ढोका खुला थियो ।
the fact is that i can't swim.	तथ्य यो हो कि म पौडिन सक्दिन।
the situation is very complex.	अवस्था निकै जटिल छ ।
there are many tall buildings.	त्यहाँ धेरै गगनचुम्बी भवनहरू छन्।
they're walking without shoes.	तिनीहरू जुत्ता बिना हिडिरहेका छन्।
this is exactly what i wanted.	यो मैले चाहेको नै हो।
throw another log on the fire.	आगोमा अर्को मुढा फ्याँक्नुहोस्।
tokyo is the capital of japan.	टोकियो जापानको राजधानी हो।
tom admitted that it was true.	टमले स्वीकार गरे कि यो सत्य थियो।
tom always had a lot of money.	टमसँग सधैं धेरै पैसा थियो।
tom and i often work together.	म प्राय टमसँग काम गर्छु।
tom and i often work together.	टम र म प्राय सँगै काम गर्छौ।
tom and mary are really funny.	टम र मेरी साँच्चै रमाइला छन्।
tom can speak three languages.	टमले तीनवटा भाषा बोल्न सक्छ।
tom complained about the heat.	टमले गर्मीको बारेमा गुनासो गरे।
tom didn't come to work today.	टम आज काममा आएनन्।
tom didn't come to work today.	टम आज काममा आएन।
tom didn't know mary was sick.	टमलाई थाहा थिएन कि मेरी बिरामी छिन्।
tom didn't want us to do this.	टमले हामीले यो गरून् भन्ने चाहँदैनथ्यो।
tom doesn't have a cell phone.	टमसँग मोबाइल छैन।
tom doesn't know how to reply.	टमलाई कसरी जवाफ दिने थाहा छैन।
tom has done everything wrong.	टमले सबै गलत गरेको छ।
tom is a high school freshman.	टम हाईस्कूलको नयाँ विद्यार्थी हो।
tom is a very charismatic man.	टम एक धेरै आकर्षक मानिस हो।
tom is already good at french.	टम पहिले नै फ्रान्सेली मा राम्रो छ।
tom is very shallow, isn't he?	टम धेरै खोक्रो छ, हैन?
tom just wanted to be helpful.	टम केवल सहयोगी हुन चाहन्थे।
tom lied about what he'd done.	टमले आफूले गरेको कामको बारेमा झूट बोल्यो।
tom looked at his watch again.	टमले आफ्नो घडी फेरी हेर्यो।
tom said he needed to do that.	टमले भने कि उनले त्यो गर्न आवश्यक छ।
tom seemed dazed and confused.	टम चकित र भ्रमित देखिन्थ्यो।
tom served drinks to everyone.	टमले सबैलाई पेय पदार्थ दिए।
tom taught me a lot of things.	टमले मलाई धेरै कुरा सिकाए।
tom thinks mary is over forty.	टमले मेरीलाई चालीस वर्ष नाघेको सोच्छ।
tom was the only one who came.	टम मात्र आएका थिए।
tom would never have approved.	टमले कहिल्यै अनुमोदन गर्ने थिएन।
wash your hands before eating.	खाना खानु अघि आफ्नो हात धुनुहोस्।
we really want to impress tom.	हामी वास्तवमै टमलाई प्रभावित गर्न चाहन्छौं।
we're going as fast as we can.	हामी सकेसम्म छिटो गइरहेका छौं।
what are tom's sisters' names?	टमका बहिनीहरूको नाम के हो?
what are you doing these days?	तपाई आजकल के गर्दै हुनुहुन्छ?
what are you looking for, sir?	महोदय, तपाई के खोज्दै हुनुहुन्छ?
what high school do you go to?	तपाईं कुन हाईस्कूल जानुहुन्छ?
what high school do you go to?	तपाईं कुन हाईस्कूलमा जादै हुनुहुन्छ?
what is that big new building?	त्यो ठूलो नयाँ भवन के हो?
what's tom's favorite dessert?	टमको मनपर्ने मिठाई के हो?
what's tom's favorite dessert?	टमको मनपर्ने डेजर्ट के हो?
when did you buy this bicycle?	तपाईले यो साइकल कहिले किन्नु भयो?
why are you talking like that?	किन यसरी बोल्दै हुनुहुन्छ ?
you haven't met my family yet.	तिमीले मेरो परिवारलाई अझै भेटेका छैनौ।
all of my children like boston.	मेरा सबै बच्चाहरूलाई बोस्टन मन पर्छ।
did you see the game yesterday?	हिजोको खेल हेर्नुभयो ?
don't forget to pack sunscreen.	सनस्क्रिन प्याक गर्न नबिर्सनुहोस्।
february is the shortest month.	फेब्रुअरी सबैभन्दा छोटो महिना हो।
he's popular with the students.	उनी विद्यार्थीमाझ लोकप्रिय छन्।
he's popular with the students.	ऊ विद्यार्थीमाझ लोकप्रिय छ।
i didn't do all this by myself.	यो सब मैले एक्लै गरेको हैन ।
i didn't want to go, but i did.	मलाई जान मन थिएन, तर म गएँ।
i didn't want to take a chance.	मलाई मौका लिन मन लागेन ।
i feel happy when i'm with you.	तिम्रो साथमा हुँदा मलाई खुसी लाग्छ।
i have a lot of homework to do.	म संग गृहकार्य धेरै छ।
i haven't decided anything yet.	मैले अझै केही निर्णय गरेको छैन।
i haven't decided what i'll do.	मैले के गर्ने भन्ने निर्णय गरेको छैन।
i haven't done anything so far.	मैले अहिलेसम्म केही गरेको छैन।
i need to have another surgery.	मलाई अर्को शल्यक्रिया गर्न आवश्यक छ।
i think tom gave up too easily.	मलाई लाग्छ टमले सजिलै हार मान्यो।
i thought tom would be pleased.	मैले सोचें कि टम खुसी हुनेछ।
i told tom to lose some weight.	मैले टमलाई केही तौल घटाउन भनें।
i want you to watch this video.	म तपाईले यो भिडियो हेर्नुहोस् भन्ने चाहन्छु।
i was always very close to tom.	म सधैं टमसँग धेरै नजिक थिए।
i was working when it happened.	यो घटना हुँदा म काम गरिरहेको थिएँ।
i'd like to drink a cup of tea.	म एक गिलास चिया पिउन चाहान्छु।
i'll be back in thirty minutes.	म तीस मिनेटमा फर्कने छु।
i'm tom. this is my wife, mary.	म टम हुँ। यिनी मेरी श्रीमती मेरी हुन्।
i'm friends with tom's brother.	म टमको भाईसँग साथी छु।
i'm friends with tom's brother.	म टमको दाईसँग साथी छु।
i'm going to break up with tom.	म टमसँग ब्रेकअप गर्न जाँदैछु।
i'm now used to wearing a mask.	मलाई अहिले मास्क लगाउने बानी परेको छ ।
i'm pretty sure tom's canadian.	म टम क्यानेडियन हो भनेर पक्का छु।
i've already found a volunteer.	मैले पहिले नै स्वयंसेवक फेला पारेको छु।
i've finished cleaning my room.	मैले मेरो कोठा सफा गरिसकेको छु।
is tom good at speaking french?	के टम फ्रान्सेली बोल्नमा राम्रो छ?
it started raining really hard.	भारी पानी पर्न थाल्यो।
it'll be much better next time.	यो अर्को पटक धेरै राम्रो हुनेछ।
it's healthy to breathe deeply.	गहिरो सास फेर्नु स्वस्थकर हुन्छ।
kyiv is the capital of ukraine.	कीभ युक्रेनको राजधानी हो।
let me think over until monday.	मलाई सोमबार सम्म सोच्न दिनुहोस्।
madrid is the capital of spain.	म्याड्रिड स्पेनको राजधानी हो।
none of those books are useful.	यस्ता किताबहरु सबै मेरो लागि बेकार छन्।
paris is the capital of france.	पेरिस फ्रान्सको राजधानी हो।
payment is required in advance.	अग्रिम भुक्तानी आवश्यक छ।
please call me tom from now on.	कृपया मलाई अब देखि टम भन्ने गर्नुहोस्।
please call me tom from now on.	कृपया मलाई अब देखि टम भनेर बोलाउनुहोस्।
she frankly admitted her guilt.	उनले इमानदारीपूर्वक आफ्नो अपराध स्वीकार गरिन्।
she is always dressed in black.	उनी सधैं कालो लुगा लगाउँछिन्।
tell me why you don't like tom.	मलाई भन्नुहोस् कि तपाई टमलाई किन मन पराउनुहुन्न।
that book is written in french.	त्यो पुस्तक फ्रान्सेलीमा लेखिएको छ।
the capital of ukraine is kyiv.	युक्रेनको राजधानी कीभ हो।
the students helped each other.	विद्यार्थीहरूले एकअर्कालाई सहयोग गरे।
things didn't turn out so well.	चीजहरू त्यति राम्ररी बाहिर आएनन्।
those roses are very beautiful.	त्यो गुलाब एकदमै सुन्दर छ।
tom and mary are great friends.	टम र मेरी महान साथी हुन्।
tom asked me several questions.	टमले मलाई धेरै प्रश्नहरू सोधे।
tom asked me several questions.	टमले मलाई धेरै प्रश्नहरू सोध्यो।
tom bought a very cheap camera.	टमले एकदमै सस्तो क्यामेरा किन्यो।
tom decided not to go swimming.	टमले पौडी खेल्न नजाने निर्णय गरे।
tom doesn't usually wear a hat.	टमले सामान्यतया टोपी लगाउँदैन।
tom has been bitten by a snake.	टमलाई सर्पले टोकेको छ।
tom is working as a waiter now.	टम अहिले वेटरको रूपमा काम गर्दैछ।
tom knows he shouldn't be here.	टमलाई थाहा छ ऊ यहाँ हुनुहुँदैन।
tom obviously needed some help.	टमलाई स्पष्ट रूपमा केही मद्दत चाहिन्छ।
tom offered to buy mary a beer.	टमले मेरीलाई बियर किनिदिने प्रस्ताव गरे।
tom put the knife on the table.	टमले चक्कु टेबुलमा राख्यो।
tom rolled his shirtsleeves up.	टमले आफ्नो शर्टको बाहुला माथि घुमाए।
tom rolled up his shirtsleeves.	टमले आफ्नो शर्टका बाहुलाहरू सुर्कियो।
tom was as nervous as mary was.	टम मेरी जस्तै नर्भस थियो।
tom was detained by the police.	टमलाई प्रहरीले नियन्त्रणमा लिएको थियो।
tom was hiding in the basement.	टम बेसमेन्टमा लुकेको थियो।
we really appreciate your help.	हामी तपाईंको सहयोगको साँच्चै कदर गर्छौं।
what does a liter of milk cost?	एक लिटर दूधको मूल्य कति पर्छ?
what kind of music do you make?	कस्तो प्रकारको संगीत रचना गर्नुहुन्छ?
what language are you speaking?	तपाई कुन भाषा बोल्नुहुन्छ?
what language are you speaking?	कुन भाषा बोल्दै हुनुहुन्छ ?
what's mary's boyfriend's name?	मेरीको प्रेमीको नाम के हो?
where do you go to high school?	तपाईं कुन हाईस्कूल जानुहुन्छ?
where do you go to high school?	तपाईं कुन हाईस्कूलमा जादै हुनुहुन्छ?
who's your downstairs neighbor?	तपाईको तलको छिमेकी को हो?
why didn't anyone say anything?	किन कसैले केही भनेनन् ?
will anyone care if we do that?	हामीले त्यसो गर्‍यौं भने कसैले वास्ता गर्छ?
you need someone you can trust.	तपाईलाई विश्वास गर्न सक्ने व्यक्ति चाहिन्छ।
zoology is my favorite subject.	प्राणीशास्त्र मेरो मनपर्ने विषय हो।
"who is it?" "it's your mother."	"उँहा को हुनुहुन्छ?" "मेरी आमा।"
are you still afraid to do that?	के तपाई अझै पनि त्यसो गर्न डराउनुहुन्छ?
aren't you allergic to anything?	तपाईलाई कुनै कुरामा एलर्जी छैन?
beijing is the capital of china.	बेइजिङ चीनको राजधानी हो।
being modest never hurt anybody.	नम्र हुनाले कसैलाई कहिल्यै हानि पुर्याउदैन।
contact tom jackson for details.	विवरणका लागि टम ज्याक्सनलाई सम्पर्क गर्नुहोस्।
could i have something to drink?	के म पिउन केहि पाउन सक्छु?
delete tom's name from the list.	सूचीबाट टमको नाम मेटाउनुहोस्।
everyone knows that you hit tom.	सबैलाई थाहा छ कि तपाईले टमलाई हिर्काउनुभयो।
everything was clear and simple.	सबै कुरा स्पष्ट र सरल थियो।
excuse me. do you speak english?	मलाईं माफ गर्नुहोस्। के तपाईँ अङ्ग्रेजी बोल्नुहुन्छ?
have you ever made marshmallows?	के तपाईंले कहिल्यै मार्शमेलो बनाउनुभएको छ?
have you seen any movies lately?	हालसालै कुनै चलचित्र हेर्नुभएको छ?
he has no more than 100 dollars.	उहाँसँग १०० डलरभन्दा बढी छैन।
how long did you stay in boston?	तपाईं बोस्टनमा कति लामो बस्नु भयो?
how much of this is tom's fault?	यसमा टमको कत्तिको गल्ती छ?
how much of this stuff is yours?	यो सामान तपाईको कति हो?
how often do you ride a bicycle?	तपाई कत्तिको पटक साइकल चलाउन हुन्छ?
i did not understand him at all.	मैले उसलाई पटक्कै बुझिन।
i don't think that you're funny.	मलाई लाग्दैन कि तपाईं हास्यास्पद हुनुहुन्छ।
i have more than one girlfriend.	मेरो एक भन्दा बढी प्रेमिका छन्।
i have more than one girlfriend.	मे संग एक भन्दा बढी प्रेमिका छन्।
i hope our plane leaves on time.	मलाई आशा छ कि हाम्रो विमान समयमै प्रस्थान गर्छ।
i probably won't be able to win.	सायद म जित्न सक्दिन होला।
i slept for the rest of the day.	म बाँकी दिन सुतेको थिएँ ।
i think i'd like to go with you.	मलाई लाग्छ म तपाईंसँग जान चाहन्छु।
i think it'll be sunny tomorrow.	भोलि घाम लाग्छ जस्तो लाग्छ।
i think that tom is working now.	मलाई लाग्छ कि टम अहिले काम गरिरहेको छ।
i think you worry too much, tom.	मलाई लाग्छ तपाईं धेरै चिन्तित हुनुहुन्छ, टम।
i want to eat breakfast outside.	म बिहानको खाजा बाहिर खान चाहन्छु।
i want to punch you in the face.	म तेरो अनुहारमा मुक्का हान्न चाहन्छु।
i'll be staying here for a week.	म यहाँ एक हप्ता बस्नेछु।
i'll give you anything you want.	म तिमी जे चाहन्छौ त्यहि दिन्छु।
i'm hoping we can do that today.	मलाई आशा छ कि आज हामी त्यो गर्न सक्छौं।
i'm positive that i can do that.	म त्यो गर्न सक्छु भन्नेमा सकारात्मक छु।
i'm pretty sure tom's competent.	म पक्का छु कि टम सक्षम छ।
i'm sure that tom remembers you.	म पक्का छु कि टमले तपाईलाई सम्झेको छ।
i've already spent all my money.	मैले पहिले नै सबै पैसा खर्च गरिसकेको छु।
i've been in line all afternoon.	दिउँसो दिनभर लाइनमा बसेको छु ।
i've changed my opinion on that.	मैले यसमा मेरो धारणा परिवर्तन गरेको छु।
it isn't raining much this year.	यो वर्ष खासै पानी परेको छैन ।
it's getting darker outside now.	बाहिर अँध्यारो हुँदैछ।
it's not healthy to eat and run.	खाना खाएर दौडनु स्वस्थकर होइन।
it's walking distance from here.	यहाँबाट हिड्ने दूरीमा छ।
learning french isn't difficult.	फ्रान्सेली सिक्न गाह्रो छैन।
mary doesn't eat pork, does she?	मेरी सुँगुरको मासु खादिनन् , हैन?
may i see your passport, please?	के म तपाईंको पासपोर्ट हेर्न सक्छु?
ottawa is the capital of canada.	ओटावा क्यानाडाको राजधानी हो।
please don't smoke in this room.	कृपया यस कोठामा धुम्रपान नगर्नुहोस्।
the capital of poland is warsaw.	पोल्याण्डको राजधानी वारसा हो।
the color i like most is orange.	मलाई सबैभन्दा मनपर्ने रङ सुन्तले हो।
the exam is coming up next week.	अर्को हप्ता परीक्षा आउँदैछ।
the plane flew above the clouds.	विमान बादल माथि उड्यो।
the process is very complicated.	प्रक्रिया एकदमै जटिल छ।
this is one of tom's best poems.	यो टमको उत्कृष्ट कविताहरू मध्ये एक हो।
tom and mary are often together.	टम र मेरी अक्सर सँगै हुन्छन्।
tom and mary were drinking beer.	टम र मेरी बियर पिइरहेका थिए।
tom did mary's homework for her.	टमले उनको लागि मेरीको गृहकार्य गरे।
tom didn't look very busy to me.	टम मेरो लागि धेरै व्यस्त देखिएन।
tom is already three hours late.	टम पहिले नै तीन घण्टा ढिलो छ।
tom is an amazing guy, isn't he?	टम एक अचम्मको मान्छे हो, हैन?
tom is my husband's middle name.	टम मेरो श्रीमानको बीचको नाम हो।
tom is my husband's middle name.	टम मेरो पतिको बीचको नाम हो।
tom is still too young to drive.	टम अझै पनि ड्राइभ गर्न को लागी धेरै जवान छ।
tom is working in australia now.	टम अहिले अस्ट्रेलियामा काम गर्दैछ।
tom left at four in the morning.	टम बिहान चार बजे निस्कियो।
tom left at four in the morning.	टम बिहान चार बजे गए।
tom looked really uncomfortable.	टम साँच्चै असहज देखिन्थ्यो ।
tom never asked me to help mary.	टमले मलाई कहिल्यै पनी मेरीलाई मद्दत गर्न भनेनन्।
tom plans to go home by himself.	टमले एक्लै घर जाने योजना बनाउँछ।
tom planted a little peach tree.	टमले एउटा सानो आरुको रूख रोपे।
tom said he couldn't believe it.	टमले भने कि उसले यो विश्वास गर्न सक्दैनन्।
tom seemed very full of himself.	टम आफैंमा धेरै भरिएको देखिन्थ्यो।
tom should tell mary to do that.	टमले मेरीलाई त्यसो गर्न भन्नु पर्छ।
tom thinks that mary is my name.	टम सोच्छन् कि मेरो नाम मेरी हो।
tom went from boston to chicago.	टम बोस्टनबाट शिकागो गए।
tom's dog never barks at anyone.	टमको कुकुर कहिल्यै कसैलाई भुक्दैन।
tom's grandfather couldn't read.	टमका हजुरबुवाले पढ्न सक्नुहुदैन थियो।
we should only eat healthy food.	हामीले स्वस्थकर खाना मात्रै खानुपर्छ।
were you popular in high school?	के तपाई हाई स्कूलमा लोकप्रिय हुनुहुन्थ्यो?
what do you do to stay in shape?	आफ्नो स्वास्थ्यको लागि ध्यान दिनुपर्ने कुरा के हो?
what kind of mushrooms are they?	तिनीहरू कुन प्रकारका च्याउ हुन्?
where do you attend high school?	तपाईं कुन हाईस्कूल जानुहुन्छ?
where do you attend high school?	तपाईं कुन हाईस्कूलमा जादै हुनुहुन्छ?
why don't you have any kids yet?	तपाईका अझै बच्चाहरू किन छैनन्?
why would you like to work here?	किन यहाँ काम गर्न चाहान्छौ?
you like older women, don't you?	तपाईलाई वृद्ध महिलाहरू मनपर्छ, हैन?
you need to respect the elderly.	ज्येष्ठ नागरिकलाई सम्मान गर्नुपर्छ।
you seem to know a lot about me.	तिमीलाई मेरो बारेमा धेरै कुरा थाहा छ जस्तो लाग्छ।
answering that question was hard.	त्यो प्रश्नको जवाफ दिन गाह्रो भयो।
berlin is the capital of germany.	बर्लिन जर्मनीको राजधानी हो।
can i still get something to eat?	के म अझै पनि खानेकुरा पाउन सक्छु?
can you talk about that a little?	यसबारे अलिकति कुरा गर्न सक्नुहुन्छ?
did you forget your wallet again?	के तपाईंले आफ्नो वालेट फेरि बिर्सनुभयो?
do you know how to change a fuse?	के तपाईंलाई फ्यूज कसरी परिवर्तन गर्ने थाहा छ?
do you know where tom's house is?	के तपाईलाई थाहा छ टमको घर कहाँ छ?
don't forget to do your homework.	आफ्नो गृहकार्य गर्न नबिर्सनुहोस्।
have you already eaten some cake?	अघिनै केक खाइसक्नु भयो?
he has been dead for three years.	उनको मृत्यु भएको तीन वर्ष भयो ।
he reads the paper every morning.	ऊ हरेक बिहान पत्रिका पढ्छ।
how will the weather be tomorrow?	भोलिको मौसम कस्तो रहनेछ?
i didn't really think about that.	मैले साँच्चै यसको बारेमा सोचेको छैन।
i don't mind the smell of durian.	मलाई डुरियनको गन्धमा कुनै आपत्ति छैन।
i don't want anybody to get hurt.	म कसैलाई चोट पुर्याउन चाहन्न।
i gave tom some milk and cookies.	मैले टमलाई केही दूध र कुकीहरू दिएँ।
i haven't decided what to do yet.	मैले अझै के गर्ने निर्णय गरेको छैन।
i just downloaded a lot of files.	मैले भर्खरै धेरै फाईलहरू डाउनलोड गरें।
i live next door to the toy shop.	म खेलौना पसलको छेउमा बस्छु।
i thought tom might be in boston.	मैले सोचे कि टम बोस्टन मा हुन सक्छ।
i was surprised when tom told me.	जब टमले मलाई भन्यो म छक्क परें।
i've forgotten tom's wife's name.	मैले टमकी श्रीमतीको नाम बिर्सिए।
it is said that he was very rich.	भनिन्छ उनी निकै धनी थिए ।
it's colder today than yesterday.	हिजो भन्दा आज चिसो बढेको छ ।
london is the capital of england.	लन्डन इङ्गल्याण्ड को राजधानी हो।
my brother and i were very close.	मेरो भाइ र म धेरै नजिक थियौं।
never be afraid to make mistakes.	असफलता देखि नडराऊ।
results will be announced monday.	नतिजा सोमबार घोषणा हुनेछ।
the pig is an intelligent animal.	सुँगुर एक बुद्धिमान प्राणी हो।
the public has the right to know.	जनतालाई जान्न पाउने अधिकार छ ।
there were too many people there.	त्यहाँ धेरै मानिसहरू थिए।
there's no time to do that today.	आज त्यो गर्ने समय छैन।
this ring is the one tom gave me.	यो टमले मलाई दिएको एउटा औंठी हो।
tom always gets up at six-thirty.	टम जहिले पनि साढे छ बजे उठ्छ।
tom doesn't express himself well.	टमले आफूलाई राम्रोसँग व्यक्त गर्दैन।
tom gave me this for my birthday.	टमले मलाई मेरो जन्मदिनको लागि यो दिए।
tom has everything under control.	टमको नियन्त्रणमा सबै कुरा छ।
tom is in the hospital, isn't he?	टम अस्पतालमा छ, हैन?
tom is still doing that, i think.	टम अझै पनि त्यही गरिरहेको छ, मलाई लाग्छ।
tom is working in his office now.	टम अहिले आफ्नो कार्यालयमा काम गर्दैछ।
tom isn't here because he's sick.	टम यहाँ छैन किनभने ऊ बिरामी छ।
tom loves pizza and french fries.	टमलाई पिज्जा र फ्रेन्च फ्राइज मन पर्छ।
tom said he was happy to do that.	टमले यसो गर्न पाउँदा खुसी लागेको बताए।
tom was the one who gave me this.	टम एक थियो जसले मलाई यो दियो।
we all just sat there and waited.	हामीले बसेर पर्खिने मात्र गर्यौ।
we expected tom to behave better.	हामीले टमले राम्रो व्यवहार गर्ने अपेक्षा गरेका थियौं।
what did you do for father's day?	बुवाको दिनमा के गर्नुभयो ?
when was the last time you cried?	तिमी अन्तिम पटक कहिले रोएको थियौ ?
why do you need to borrow my car?	तपाईंले मेरो कार किन सापटी लिनु पर्यो ?
you have to go back to australia.	तपाई अष्ट्रेलिया फर्किनु पर्छ।
you must respect senior citizens.	ज्येष्ठ नागरिकलाई सम्मान गर्नुपर्छ।
you're going to be my son-in-law.	तपाई मेरो ज्वाइँ बन्दै हुनुहुन्छ।
you're in better shape than i am.	तपाईं म भन्दा राम्रो अवस्थामा हुनुहुन्छ।
"what are you studying?" "french."	"तिमी के पढ्दै छौ?" "फ्रान्सेली भाषा।"
an explosion blew the house apart.	विष्फोटले घर ध्वस्त पारेको छ ।
can you pick me up at the station?	के मलाई स्टेशनमा लिन आउन सक्छौ?
can you please explain this to me?	कृपया मलाई यो कुरा बुझाउन सक्नुहुन्छ?
could you leave this book with me?	के तपाईं यो किताब मसँग छोड्न सक्नुहुन्छ?
excuse me, are you a student here?	माफ गर्नुहोस्, के तपाईं यहाँको विद्यार्थी हुनुहुन्छ?
french is an interesting language.	फ्रेन्च एउटा रोचक भाषा हो।
have my piece of cake if you like.	यदि तपाईलाई मन पर्यो भने मेरो केकको टुक्रा लिनुहोस्।
he had friends all over the world.	संसारभरि उनका साथी थिए ।
he is very good at playing violin.	उनी भायोलिन बजाउन निकै माहिर छन् ।
he really likes the united states.	उसलाई संयुक्त राज्य अमेरिका मन पर्छ।
he was very friendly to everybody.	उनी सबैसँग निकै मिलनसार थिए।
he was very friendly to everybody.	उहाँ सबैसँग धेरै मिलनसार हुनुहुन्थ्यो।
how could you write such a letter?	तपाई यस्तो पत्र कसरी लेख्न सक्नु हुन्छ ?
how could you write such a letter?	तिमीले यस्तो चिठ्ठी कसरी लेख्न सक्यौ?
how do i get to the train station?	स्टेशन सम्म कसरी पुग्न सकिन्छ?
how long are you going to do this?	तपाई कहिले सम्म यो गर्न जाँदै हुनुहुन्छ?
how was the man you met yesterday?	हिजो भेटेको मान्छे कस्तो थियो?
i bought a watch and an empty box.	मैले एउटा घडी र एउटा खाली बक्स किनेँ।
i didn't know tom was from boston.	टम बोस्टनबाट आएको मलाई थाहा थिएन।
i don't think i have one of those.	के तपाई आज त्यसो गर्न रुचाउनुहुन्छ?
i forgot tom used to be a plumber.	टम प्लम्बर हुनुहुन्थ्यो भनेर मैले बिर्सें।
i found a good mexican restaurant.	मैले एउटा स्वादिष्ट मेक्सिकन रेस्टुरेन्ट फेला पारे।
i guess nobody buys these anymore.	मलाई लाग्छ अब यो कसैले किन्दैन।
i had the good fortune to succeed.	म सफल हुन भाग्यशाली थिएँ।
i have heard nothing from him yet.	मैले अहिलेसम्म उहाँबाट केही पनि सुनेको छैन।
i never thought i'd do this again.	मैले कहिल्यै सोचेको थिइन कि म यो फेरि गर्नेछु।
i saw tom limping down the street.	मैले टमलाई सडकमा लङ्गडा गरिरहेको देखेँ।
i showed tom how to tie a bowline.	मैले टमलाई बाउलाइन कसरी बाँध्ने भनेर देखाएँ।
i think tom is having a good time.	मलाई लाग्छ टमले राम्रो समय बिताइरहेको छ।
i think tom was born in australia.	मलाई लाग्छ टम अष्ट्रेलियामा जन्मिएको हो।
i think that tom would be nervous.	मलाई लाग्छ कि टम नर्भस हुनेछ।
i was at a loss as to what to say.	म के भन्नू भनी अलमलमा परें।
i would like to improve my french.	म मेरो फ्रान्सेली सुधार गर्न चाहन्छु।
i'm tired and i want to go to bed.	म थाकेको छु र म ओछ्यानमा जान चाहन्छु।
i've never seen tom wearing a tie.	मैले टमलाई टाई लगाएको कहिल्यै देखेको छैन।
it'll be finished in a day or two.	यो एक दुई दिनमा सकिन्छ।
my father is the one drinking tea.	चिया पिउने मेरो बुवा हुनुहुन्छ।
nowadays jobs are hard to come by.	आजकल काम पाउन गाह्रो छ।
only a few people listened to him.	थोरै मानिसले मात्र उनको कुरा सुने।
phoenix is the capital of arizona.	फिनिक्स एरिजोना को राजधानी हो।
something has gone terribly wrong.	केही नराम्रोसँग गडबड भएको छ।
the capital of brazil is brasilia.	ब्राजिलको राजधानी ब्रासिलिया हो।
the fire destroyed the whole city.	आगलागीले पूरै सहर ध्वस्त पारेको छ ।
those books are written in french.	ती पुस्तकहरू फ्रेन्चमा लेखिएका छन्।
tom and i agreed to work together.	टम र म सँगै काम गर्न सहमत भयौं।
tom and mary are now eating lunch.	टम र मेरी अहिले खाजा खाँदैछन्।
tom and mary argued all afternoon.	टम र मेरीले दिउँसो भरी बहस गरे।
tom asked me a confusing question.	टमले मलाई एक भ्रमित प्रश्न सोध्यो।
tom has decided to buy the island.	टमले टापु किन्ने निर्णय गरेको छ।
tom has earned a number of awards.	टमले धेरै अवार्ड जितिसकेका छन्।
tom is a former student of mary's.	टम मेरीको पूर्व विद्यार्थी हो।
tom is good at baking gingerbread.	टम जिंजरब्रेड पकाउने मा राम्रो छ।
tom is likely to be here tomorrow.	टम भोलि यहाँ हुने सम्भावना छ।
tom is no longer mary's boyfriend.	टम अब मेरीको प्रेमी रहेन।
tom isn't from around here, is he?	टम यहाँ वरिपरिबाट होइन, हो?
