who?	<SOS> को? <EOS>
i was always very close to tom.	<SOS> म सधैं टमसँग धेरै नजिक थिए। <EOS>
i was working when it happened.	<SOS> यो घटना हुँदा म काम गरिरहेको थिएँ। <EOS>
i'd like to drink a cup of tea.	<SOS> म एक गिलास चिया पिउन चाहान्छु। <EOS>
i'll be back in thirty minutes.	<SOS> म तीस मिनेटमा फर्कने छु। <EOS>
i'm tom. this is my wife, mary.	<SOS> म टम हुँ। यिनी मेरी श्रीमती मेरी हुन्। <EOS>
i'm friends with tom's brother.	<SOS> म टमको भाईसँग साथी छु। <EOS>
i'm friends with tom's brother.	<SOS> म टमको दाईसँग साथी छु। <EOS>
i'm going to break up with tom.	<SOS> म टमसँग ब्रेकअप गर्न जाँदैछु। <EOS>
i'm now used to wearing a mask.	<SOS> मलाई अहिले मास्क लगाउने बानी परेको छ । <EOS>
i'm pretty sure tom's canadian.	<SOS> म टम क्यानेडियन हो भनेर पक्का छु। <EOS>
i've already found a volunteer.	<SOS> मैले पहिले नै स्वयंसेवक फेला पारेको छु। <EOS>
i've finished cleaning my room.	<SOS> मैले मेरो कोठा सफा गरिसकेको छु। <EOS>
is tom good at speaking french?	<SOS> के टम फ्रान्सेली बोल्नमा राम्रो छ? <EOS>
it started raining really hard.	<SOS> भारी पानी पर्न थाल्यो। <EOS>
it'll be much better next time.	<SOS> यो अर्को पटक धेरै राम्रो हुनेछ। <EOS>
it's healthy to breathe deeply.	<SOS> गहिरो सास फेर्नु स्वस्थकर हुन्छ। <EOS>
kyiv is the capital of ukraine.	<SOS> कीभ युक्रेनको राजधानी हो। <EOS>
let me think over until monday.	<SOS> मलाई सोमबार सम्म सोच्न दिनुहोस्। <EOS>
madrid is the capital of spain.	<SOS> म्याड्रिड स्पेनको राजधानी हो। <EOS>
none of those books are useful.	<SOS> यस्ता किताबहरु सबै मेरो लागि बेकार छन्। <EOS>
paris is the capital of france.	<SOS> पेरिस फ्रान्सको राजधानी हो। <EOS>
payment is required in advance.	<SOS> अग्रिम भुक्तानी आवश्यक छ। <EOS>
please call me tom from now on.	<SOS> कृपया मलाई अब देखि टम भन्ने गर्नुहोस्। <EOS>
please call me tom from now on.	<SOS> कृपया मलाई अब देखि टम भनेर बोलाउनुहोस्। <EOS>
she frankly admitted her guilt.	<SOS> उनले इमानदारीपूर्वक आफ्नो अपराध स्वीकार गरिन्। <EOS>
she is always dressed in black.	<SOS> उनी सधैं कालो लुगा लगाउँछिन्। <EOS>
tell me why you don't like tom.	<SOS> मलाई भन्नुहोस् कि तपाई टमलाई किन मन पराउनुहुन्न। <EOS>
that book is written in french.	<SOS> त्यो पुस्तक फ्रान्सेलीमा लेखिएको छ। <EOS>
the capital of ukraine is kyiv.	<SOS> युक्रेनको राजधानी कीभ हो। <EOS>
the students helped each other.	<SOS> विद्यार्थीहरूले एकअर्कालाई सहयोग गरे। <EOS>
things didn't turn out so well.	<SOS> चीजहरू त्यति राम्ररी बाहिर आएनन्। <EOS>
those roses are very beautiful.	<SOS> त्यो गुलाब एकदमै सुन्दर छ। <EOS>
tom and mary are great friends.	<SOS> टम र मेरी महान साथी हुन्। <EOS>
tom asked me several questions.	<SOS> टमले मलाई धेरै प्रश्नहरू सोधे। <EOS>
tom asked me several questions.	<SOS> टमले मलाई धेरै प्रश्नहरू सोध्यो। <EOS>
tom bought a very cheap camera.	<SOS> टमले एकदमै सस्तो क्यामेरा किन्यो। <EOS>
tom decided not to go swimming.	<SOS> टमले पौडी खेल्न नजाने निर्णय गरे। <EOS>
tom doesn't usually wear a hat.	<SOS> टमले सामान्यतया टोपी लगाउँदैन। <EOS>
tom has been bitten by a snake.	<SOS> टमलाई सर्पले टोकेको छ। <EOS>
tom is working as a waiter now.	<SOS> टम अहिले वेटरको रूपमा काम गर्दैछ। <EOS>
tom knows he shouldn't be here.	<SOS> टमलाई थाहा छ ऊ यहाँ हुनुहुँदैन। <EOS>
tom obviously needed some help.	<SOS> टमलाई स्पष्ट रूपमा केही मद्दत चाहिन्छ। <EOS>
tom offered to buy mary a beer.	<SOS> टमले मेरीलाई बियर किनिदिने प्रस्ताव गरे। <EOS>
tom put the knife on the table.	<SOS> टमले चक्कु टेबुलमा राख्यो। <EOS>
tom rolled his shirtsleeves up.	<SOS> टमले आफ्नो शर्टको बाहुला माथि घुमाए। <EOS>
tom rolled up his shirtsleeves.	<SOS> टमले आफ्नो शर्टका बाहुलाहरू सुर्कियो। <EOS>
tom was as nervous as mary was.	<SOS> टम मेरी जस्तै नर्भस थियो। <EOS>
tom was detained by the police.	<SOS> टमलाई प्रहरीले नियन्त्रणमा लिएको थियो। <EOS>
tom was hiding in the basement.	<SOS> टम बेसमेन्टमा लुकेको थियो। <EOS>
we really appreciate your help.	<SOS> हामी तपाईंको सहयोगको साँच्चै कदर गर्छौं। <EOS>
what does a liter of milk cost?	<SOS> एक लिटर दूधको मूल्य कति पर्छ? <EOS>
what kind of music do you make?	<SOS> कस्तो प्रकारको संगीत रचना गर्नुहुन्छ? <EOS>
what language are you speaking?	<SOS> तपाई कुन भाषा बोल्नुहुन्छ? <EOS>
what language are you speaking?	<SOS> कुन भाषा बोल्दै हुनुहुन्छ ? <EOS>
what's mary's boyfriend's name?	<SOS> मेरीको प्रेमीको नाम के हो? <EOS>
where do you go to high school?	<SOS> तपाईं कुन हाईस्कूल जानुहुन्छ? <EOS>
where do you go to high school?	<SOS> तपाईं कुन हाईस्कूलमा जादै हुनुहुन्छ? <EOS>
who's your downstairs neighbor?	<SOS> तपाईको तलको छिमेकी को हो? <EOS>
why didn't anyone say anything?	<SOS> किन कसैले केही भनेनन् ? <EOS>
will anyone care if we do that?	<SOS> हामीले त्यसो गर्‍यौं भने कसैले वास्ता गर्छ? <EOS>
you need someone you can trust.	<SOS> तपाईलाई विश्वास गर्न सक्ने व्यक्ति चाहिन्छ। <EOS>
zoology is my favorite subject.	<SOS> प्राणीशास्त्र मेरो मनपर्ने विषय हो। <EOS>
"who is it?" "it's your mother."	<SOS> "उँहा को हुनुहुन्छ?" "मेरी आमा।" <EOS>
are you still afraid to do that?	<SOS> के तपाई अझै पनि त्यसो गर्न डराउनुहुन्छ? <EOS>
aren't you allergic to anything?	<SOS> तपाईलाई कुनै कुरामा एलर्जी छैन? <EOS>
beijing is the capital of china.	<SOS> बेइजिङ चीनको राजधानी हो। <EOS>
being modest never hurt anybody.	<SOS> नम्र हुनाले कसैलाई कहिल्यै हानि पुर्याउदैन। <EOS>
contact tom jackson for details.	<SOS> विवरणका लागि टम ज्याक्सनलाई सम्पर्क गर्नुहोस्। <EOS>
could i have something to drink?	<SOS> के म पिउन केहि पाउन सक्छु? <EOS>
delete tom's name from the list.	<SOS> सूचीबाट टमको नाम मेटाउनुहोस्। <EOS>
everyone knows that you hit tom.	<SOS> सबैलाई थाहा छ कि तपाईले टमलाई हिर्काउनुभयो। <EOS>
everything was clear and simple.	<SOS> सबै कुरा स्पष्ट र सरल थियो। <EOS>
excuse me. do you speak english?	<SOS> मलाईं माफ गर्नुहोस्। के तपाईँ अङ्ग्रेजी बोल्नुहुन्छ? <EOS>
have you ever made marshmallows?	<SOS> के तपाईंले कहिल्यै मार्शमेलो बनाउनुभएको छ? <EOS>
have you seen any movies lately?	<SOS> हालसालै कुनै चलचित्र हेर्नुभएको छ? <EOS>
he has no more than 100 dollars.	<SOS> उहाँसँग १०० डलरभन्दा बढी छैन। <EOS>
how long did you stay in boston?	<SOS> तपाईं बोस्टनमा कति लामो बस्नु भयो? <EOS>
how much of this is tom's fault?	<SOS> यसमा टमको कत्तिको गल्ती छ? <EOS>
how much of this stuff is yours?	<SOS> यो सामान तपाईको कति हो? <EOS>
how often do you ride a bicycle?	<SOS> तपाई कत्तिको पटक साइकल चलाउन हुन्छ? <EOS>
i did not understand him at all.	<SOS> मैले उसलाई पटक्कै बुझिन। <EOS>
i don't think that you're funny.	<SOS> मलाई लाग्दैन कि तपाईं हास्यास्पद हुनुहुन्छ। <EOS>
i have more than one girlfriend.	<SOS> मेरो एक भन्दा बढी प्रेमिका छन्। <EOS>
i have more than one girlfriend.	<SOS> मे संग एक भन्दा बढी प्रेमिका छन्। <EOS>
i hope our plane leaves on time.	<SOS> मलाई आशा छ कि हाम्रो विमान समयमै प्रस्थान गर्छ। <EOS>
i probably won't be able to win.	<SOS> सायद म जित्न सक्दिन होला। <EOS>
i slept for the rest of the day.	<SOS> म बाँकी दिन सुतेको थिएँ । <EOS>
i think i'd like to go with you.	<SOS> मलाई लाग्छ म तपाईंसँग जान चाहन्छु। <EOS>
i think it'll be sunny tomorrow.	<SOS> भोलि घाम लाग्छ जस्तो लाग्छ। <EOS>
i think that tom is working now.	<SOS> मलाई लाग्छ कि टम अहिले काम गरिरहेको छ। <EOS>
i think you worry too much, tom.	<SOS> मलाई लाग्छ तपाईं धेरै चिन्तित हुनुहुन्छ, टम। <EOS>
i want to eat breakfast outside.	<SOS> म बिहानको खाजा बाहिर खान चाहन्छु। <EOS>
i want to punch you in the face.	<SOS> म तेरो अनुहारमा मुक्का हान्न चाहन्छु। <EOS>
i'll be staying here for a week.	<SOS> म यहाँ एक हप्ता बस्नेछु। <EOS>
i'll give you anything you want.	<SOS> म तिमी जे चाहन्छौ त्यहि दिन्छु। <EOS>
i'm hoping we can do that today.	<SOS> मलाई आशा छ कि आज हामी त्यो गर्न सक्छौं। <EOS>
i'm positive that i can do that.	<SOS> म त्यो गर्न सक्छु भन्नेमा सकारात्मक छु। <EOS>
i'm pretty sure tom's competent.	<SOS> म पक्का छु कि टम सक्षम छ। <EOS>
i'm sure that tom remembers you.	<SOS> म पक्का छु कि टमले तपाईलाई सम्झेको छ। <EOS>
i've already spent all my money.	<SOS> मैले पहिले नै सबै पैसा खर्च गरिसकेको छु। <EOS>
i've been in line all afternoon.	<SOS> दिउँसो दिनभर लाइनमा बसेको छु । <EOS>
i've changed my opinion on that.	<SOS> मैले यसमा मेरो धारणा परिवर्तन गरेको छु। <EOS>
it isn't raining much this year.	<SOS> यो वर्ष खासै पानी परेको छैन । <EOS>
it's getting darker outside now.	<SOS> बाहिर अँध्यारो हुँदैछ। <EOS>
it's not healthy to eat and run.	<SOS> खाना खाएर दौडनु स्वस्थकर होइन। <EOS>
it's walking distance from here.	<SOS> यहाँबाट हिड्ने दूरीमा छ। <EOS>
learning french isn't difficult.	<SOS> फ्रान्सेली सिक्न गाह्रो छैन। <EOS>
mary doesn't eat pork, does she?	<SOS> मेरी सुँगुरको मासु खादिनन् , हैन? <EOS>
may i see your passport, please?	<SOS> के म तपाईंको पासपोर्ट हेर्न सक्छु? <EOS>
ottawa is the capital of canada.	<SOS> ओटावा क्यानाडाको राजधानी हो। <EOS>
please don't smoke in this room.	<SOS> कृपया यस कोठामा धुम्रपान नगर्नुहोस्। <EOS>
the capital of poland is warsaw.	<SOS> पोल्याण्डको राजधानी वारसा हो। <EOS>
the color i like most is orange.	<SOS> मलाई सबैभन्दा मनपर्ने रङ सुन्तले हो। <EOS>
the exam is coming up next week.	<SOS> अर्को हप्ता परीक्षा आउँदैछ। <EOS>
the plane flew above the clouds.	<SOS> विमान बादल माथि उड्यो। <EOS>
the process is very complicated.	<SOS> प्रक्रिया एकदमै जटिल छ। <EOS>
this is one of tom's best poems.	<SOS> यो टमको उत्कृष्ट कविताहरू मध्ये एक हो। <EOS>
tom and mary are often together.	<SOS> टम र मेरी अक्सर सँगै हुन्छन्। <EOS>
tom and mary were drinking beer.	<SOS> टम र मेरी बियर पिइरहेका थिए। <EOS>
tom did mary's homework for her.	<SOS> टमले उनको लागि मेरीको गृहकार्य गरे। <EOS>
tom didn't look very busy to me.	<SOS> टम मेरो लागि धेरै व्यस्त देखिएन। <EOS>
tom is already three hours late.	<SOS> टम पहिले नै तीन घण्टा ढिलो छ। <EOS>
tom is an amazing guy, isn't he?	<SOS> टम एक अचम्मको मान्छे हो, हैन? <EOS>
tom is my husband's middle name.	<SOS> टम मेरो श्रीमानको बीचको नाम हो। <EOS>
tom is my husband's middle name.	<SOS> टम मेरो पतिको बीचको नाम हो। <EOS>
tom is still too young to drive.	<SOS> टम अझै पनि ड्राइभ गर्न को लागी धेरै जवान छ। <EOS>
tom is working in australia now.	<SOS> टम अहिले अस्ट्रेलियामा काम गर्दैछ। <EOS>
tom left at four in the morning.	<SOS> टम बिहान चार बजे निस्कियो। <EOS>
tom left at four in the morning.	<SOS> टम बिहान चार बजे गए। <EOS>
tom looked really uncomfortable.	<SOS> टम साँच्चै असहज देखिन्थ्यो । <EOS>
tom never asked me to help mary.	<SOS> टमले मलाई कहिल्यै पनी मेरीलाई मद्दत गर्न भनेनन्। <EOS>
tom plans to go home by himself.	<SOS> टमले एक्लै घर जाने योजना बनाउँछ। <EOS>
tom planted a little peach tree.	<SOS> टमले एउटा सानो आरुको रूख रोपे। <EOS>
tom said he couldn't believe it.	<SOS> टमले भने कि उसले यो विश्वास गर्न सक्दैनन्। <EOS>
tom seemed very full of himself.	<SOS> टम आफैंमा धेरै भरिएको देखिन्थ्यो। <EOS>
tom should tell mary to do that.	<SOS> टमले मेरीलाई त्यसो गर्न भन्नु पर्छ। <EOS>
tom thinks that mary is my name.	<SOS> टम सोच्छन् कि मेरो नाम मेरी हो। <EOS>
tom went from boston to chicago.	<SOS> टम बोस्टनबाट शिकागो गए। <EOS>
tom's dog never barks at anyone.	<SOS> टमको कुकुर कहिल्यै कसैलाई भुक्दैन। <EOS>
tom's grandfather couldn't read.	<SOS> टमका हजुरबुवाले पढ्न सक्नुहुदैन थियो। <EOS>
we should only eat healthy food.	<SOS> हामीले स्वस्थकर खाना मात्रै खानुपर्छ। <EOS>
were you popular in high school?	<SOS> के तपाई हाई स्कूलमा लोकप्रिय हुनुहुन्थ्यो? <EOS>
what do you do to stay in shape?	<SOS> आफ्नो स्वास्थ्यको लागि ध्यान दिनुपर्ने कुरा के हो? <EOS>
what kind of mushrooms are they?	<SOS> तिनीहरू कुन प्रकारका च्याउ हुन्? <EOS>
where do you attend high school?	<SOS> तपाईं कुन हाईस्कूल जानुहुन्छ? <EOS>
where do you attend high school?	<SOS> तपाईं कुन हाईस्कूलमा जादै हुनुहुन्छ? <EOS>
why don't you have any kids yet?	<SOS> तपाईका अझै बच्चाहरू किन छैनन्? <EOS>
why would you like to work here?	<SOS> किन यहाँ काम गर्न चाहान्छौ? <EOS>
you like older women, don't you?	<SOS> तपाईलाई वृद्ध महिलाहरू मनपर्छ, हैन? <EOS>
you need to respect the elderly.	<SOS> ज्येष्ठ नागरिकलाई सम्मान गर्नुपर्छ। <EOS>
you seem to know a lot about me.	<SOS> तिमीलाई मेरो बारेमा धेरै कुरा थाहा छ जस्तो लाग्छ। <EOS>
answering that question was hard.	<SOS> त्यो प्रश्नको जवाफ दिन गाह्रो भयो। <EOS>
berlin is the capital of germany.	<SOS> बर्लिन जर्मनीको राजधानी हो। <EOS>
can i still get something to eat?	<SOS> के म अझै पनि खानेकुरा पाउन सक्छु? <EOS>
can you talk about that a little?	<SOS> यसबारे अलिकति कुरा गर्न सक्नुहुन्छ? <EOS>
did you forget your wallet again?	<SOS> के तपाईंले आफ्नो वालेट फेरि बिर्सनुभयो? <EOS>
do you know how to change a fuse?	<SOS> के तपाईंलाई फ्यूज कसरी परिवर्तन गर्ने थाहा छ? <EOS>
do you know where tom's house is?	<SOS> के तपाईलाई थाहा छ टमको घर कहाँ छ? <EOS>
don't forget to do your homework.	<SOS> आफ्नो गृहकार्य गर्न नबिर्सनुहोस्। <EOS>
have you already eaten some cake?	<SOS> अघिनै केक खाइसक्नु भयो? <EOS>
he has been dead for three years.	<SOS> उनको मृत्यु भएको तीन वर्ष भयो । <EOS>
he reads the paper every morning.	<SOS> ऊ हरेक बिहान पत्रिका पढ्छ। <EOS>
how will the weather be tomorrow?	<SOS> भोलिको मौसम कस्तो रहनेछ? <EOS>
i didn't really think about that.	<SOS> मैले साँच्चै यसको बारेमा सोचेको छैन। <EOS>
i don't mind the smell of durian.	<SOS> मलाई डुरियनको गन्धमा कुनै आपत्ति छैन। <EOS>
i don't want anybody to get hurt.	<SOS> म कसैलाई चोट पुर्याउन चाहन्न। <EOS>
i gave tom some milk and cookies.	<SOS> मैले टमलाई केही दूध र कुकीहरू दिएँ। <EOS>
i haven't decided what to do yet.	<SOS> मैले अझै के गर्ने निर्णय गरेको छैन। <EOS>
i just downloaded a lot of files.	<SOS> मैले भर्खरै धेरै फाईलहरू डाउनलोड गरें। <EOS>
i live next door to the toy shop.	<SOS> म खेलौना पसलको छेउमा बस्छु। <EOS>
i thought tom might be in boston.	<SOS> मैले सोचे कि टम बोस्टन मा हुन सक्छ। <EOS>
i was surprised when tom told me.	<SOS> जब टमले मलाई भन्यो म छक्क परें। <EOS>
i've forgotten tom's wife's name.	<SOS> मैले टमकी श्रीमतीको नाम बिर्सिए। <EOS>
it is said that he was very rich.	<SOS> भनिन्छ उनी निकै धनी थिए । <EOS>
it's colder today than yesterday.	<SOS> हिजो भन्दा आज चिसो बढेको छ । <EOS>
london is the capital of england.	<SOS> लन्डन इङ्गल्याण्ड को राजधानी हो। <EOS>
my brother and i were very close.	<SOS> मेरो भाइ र म धेरै नजिक थियौं। <EOS>
never be afraid to make mistakes.	<SOS> असफलता देखि नडराऊ। <EOS>
results will be announced monday.	<SOS> नतिजा सोमबार घोषणा हुनेछ। <EOS>
the pig is an intelligent animal.	<SOS> सुँगुर एक बुद्धिमान प्राणी हो। <EOS>
the public has the right to know.	<SOS> जनतालाई जान्न पाउने अधिकार छ । <EOS>
there were too many people there.	<SOS> त्यहाँ धेरै मानिसहरू थिए। <EOS>
there's no time to do that today.	<SOS> आज त्यो गर्ने समय छैन। <EOS>
this ring is the one tom gave me.	<SOS> यो टमले मलाई दिएको एउटा औंठी हो। <EOS>
tom always gets up at six-thirty.	<SOS> टम जहिले पनि साढे छ बजे उठ्छ। <EOS>
tom doesn't express himself well.	<SOS> टमले आफूलाई राम्रोसँग व्यक्त गर्दैन। <EOS>
tom gave me this for my birthday.	<SOS> टमले मलाई मेरो जन्मदिनको लागि यो दिए। <EOS>
tom has everything under control.	<SOS> टमको नियन्त्रणमा सबै कुरा छ। <EOS>
tom is in the hospital, isn't he?	<SOS> टम अस्पतालमा छ, हैन? <EOS>
tom is still doing that, i think.	<SOS> टम अझै पनि त्यही गरिरहेको छ, मलाई लाग्छ। <EOS>
tom is working in his office now.	<SOS> टम अहिले आफ्नो कार्यालयमा काम गर्दैछ। <EOS>
tom isn't here because he's sick.	<SOS> टम यहाँ छैन किनभने ऊ बिरामी छ। <EOS>
tom loves pizza and french fries.	<SOS> टमलाई पिज्जा र फ्रेन्च फ्राइज मन पर्छ। <EOS>
tom said he was happy to do that.	<SOS> टमले यसो गर्न पाउँदा खुसी लागेको बताए। <EOS>
tom was the one who gave me this.	<SOS> टम एक थियो जसले मलाई यो दियो। <EOS>
we all just sat there and waited.	<SOS> हामीले बसेर पर्खिने मात्र गर्यौ। <EOS>
we expected tom to behave better.	<SOS> हामीले टमले राम्रो व्यवहार गर्ने अपेक्षा गरेका थियौं। <EOS>
what did you do for father's day?	<SOS> बुवाको दिनमा के गर्नुभयो ? <EOS>
when was the last time you cried?	<SOS> तिमी अन्तिम पटक कहिले रोएको थियौ ? <EOS>
why do you need to borrow my car?	<SOS> तपाईंले मेरो कार किन सापटी लिनु पर्यो ? <EOS>
you have to go back to australia.	<SOS> तपाई अष्ट्रेलिया फर्किनु पर्छ। <EOS>
you must respect senior citizens.	<SOS> ज्येष्ठ नागरिकलाई सम्मान गर्नुपर्छ। <EOS>
you're going to be my son-in-law.	<SOS> तपाई मेरो ज्वाइँ बन्दै हुनुहुन्छ। <EOS>
you're in better shape than i am.	<SOS> तपाईं म भन्दा राम्रो अवस्थामा हुनुहुन्छ। <EOS>
"what are you studying?" "french."	<SOS> "तिमी के पढ्दै छौ?" "फ्रान्सेली भाषा।" <EOS>
an explosion blew the house apart.	<SOS> विष्फोटले घर ध्वस्त पारेको छ । <EOS>
can you pick me up at the station?	<SOS> के मलाई स्टेशनमा लिन आउन सक्छौ? <EOS>
can you please explain this to me?	<SOS> कृपया मलाई यो कुरा बुझाउन सक्नुहुन्छ? <EOS>
could you leave this book with me?	<SOS> के तपाईं यो किताब मसँग छोड्न सक्नुहुन्छ? <EOS>
excuse me, are you a student here?	<SOS> माफ गर्नुहोस्, के तपाईं यहाँको विद्यार्थी हुनुहुन्छ? <EOS>
french is an interesting language.	<SOS> फ्रेन्च एउटा रोचक भाषा हो। <EOS>
have my piece of cake if you like.	<SOS> यदि तपाईलाई मन पर्यो भने मेरो केकको टुक्रा लिनुहोस्। <EOS>
he had friends all over the world.	<SOS> संसारभरि उनका साथी थिए । <EOS>
he is very good at playing violin.	<SOS> उनी भायोलिन बजाउन निकै माहिर छन् । <EOS>
he really likes the united states.	<SOS> उसलाई संयुक्त राज्य अमेरिका मन पर्छ। <EOS>
he was very friendly to everybody.	<SOS> उनी सबैसँग निकै मिलनसार थिए। <EOS>
he was very friendly to everybody.	<SOS> उहाँ सबैसँग धेरै मिलनसार हुनुहुन्थ्यो। <EOS>
how could you write such a letter?	<SOS> तपाई यस्तो पत्र कसरी लेख्न सक्नु हुन्छ ? <EOS>
how could you write such a letter?	<SOS> तिमीले यस्तो चिठ्ठी कसरी लेख्न सक्यौ? <EOS>
how do i get to the train station?	<SOS> स्टेशन सम्म कसरी पुग्न सकिन्छ? <EOS>
how long are you going to do this?	<SOS> तपाई कहिले सम्म यो गर्न जाँदै हुनुहुन्छ? <EOS>
how was the man you met yesterday?	<SOS> हिजो भेटेको मान्छे कस्तो थियो? <EOS>
i bought a watch and an empty box.	<SOS> मैले एउटा घडी र एउटा खाली बक्स किनेँ। <EOS>
i didn't know tom was from boston.	<SOS> टम बोस्टनबाट आएको मलाई थाहा थिएन। <EOS>
i don't think i have one of those.	<SOS> के तपाई आज त्यसो गर्न रुचाउनुहुन्छ? <EOS>
i forgot tom used to be a plumber.	<SOS> टम प्लम्बर हुनुहुन्थ्यो भनेर मैले बिर्सें। <EOS>
i found a good mexican restaurant.	<SOS> मैले एउटा स्वादिष्ट मेक्सिकन रेस्टुरेन्ट फेला पारे। <EOS>
i guess nobody buys these anymore.	<SOS> मलाई लाग्छ अब यो कसैले किन्दैन। <EOS>
i had the good fortune to succeed.	<SOS> म सफल हुन भाग्यशाली थिएँ। <EOS>
i have heard nothing from him yet.	<SOS> मैले अहिलेसम्म उहाँबाट केही पनि सुनेको छैन। <EOS>
i never thought i'd do this again.	<SOS> मैले कहिल्यै सोचेको थिइन कि म यो फेरि गर्नेछु। <EOS>
i saw tom limping down the street.	<SOS> मैले टमलाई सडकमा लङ्गडा गरिरहेको देखेँ। <EOS>
i showed tom how to tie a bowline.	<SOS> मैले टमलाई बाउलाइन कसरी बाँध्ने भनेर देखाएँ। <EOS>
i think tom is having a good time.	<SOS> मलाई लाग्छ टमले राम्रो समय बिताइरहेको छ। <EOS>
i think tom was born in australia.	<SOS> मलाई लाग्छ टम अष्ट्रेलियामा जन्मिएको हो। <EOS>
i think that tom would be nervous.	<SOS> मलाई लाग्छ कि टम नर्भस हुनेछ। <EOS>
i was at a loss as to what to say.	<SOS> म के भन्नू भनी अलमलमा परें। <EOS>
i would like to improve my french.	<SOS> म मेरो फ्रान्सेली सुधार गर्न चाहन्छु। <EOS>
i'm tired and i want to go to bed.	<SOS> म थाकेको छु र म ओछ्यानमा जान चाहन्छु। <EOS>
i've never seen tom wearing a tie.	<SOS> मैले टमलाई टाई लगाएको कहिल्यै देखेको छैन। <EOS>
it'll be finished in a day or two.	<SOS> यो एक दुई दिनमा सकिन्छ। <EOS>
my father is the one drinking tea.	<SOS> चिया पिउने मेरो बुवा हुनुहुन्छ। <EOS>
nowadays jobs are hard to come by.	<SOS> आजकल काम पाउन गाह्रो छ। <EOS>
only a few people listened to him.	<SOS> थोरै मानिसले मात्र उनको कुरा सुने। <EOS>
phoenix is the capital of arizona.	<SOS> फिनिक्स एरिजोना को राजधानी हो। <EOS>
something has gone terribly wrong.	<SOS> केही नराम्रोसँग गडबड भएको छ। <EOS>
the capital of brazil is brasilia.	<SOS> ब्राजिलको राजधानी ब्रासिलिया हो। <EOS>
the fire destroyed the whole city.	<SOS> आगलागीले पूरै सहर ध्वस्त पारेको छ । <EOS>
those books are written in french.	<SOS> ती पुस्तकहरू फ्रेन्चमा लेखिएका छन्। <EOS>
tom and i agreed to work together.	<SOS> टम र म सँगै काम गर्न सहमत भयौं। <EOS>
tom and mary are now eating lunch.	<SOS> टम र मेरी अहिले खाजा खाँदैछन्। <EOS>
tom and mary argued all afternoon.	<SOS> टम र मेरीले दिउँसो भरी बहस गरे। <EOS>
tom asked me a confusing question.	<SOS> टमले मलाई एक भ्रमित प्रश्न सोध्यो। <EOS>
tom has decided to buy the island.	<SOS> टमले टापु किन्ने निर्णय गरेको छ। <EOS>
tom has earned a number of awards.	<SOS> टमले धेरै अवार्ड जितिसकेका छन्। <EOS>
tom is a former student of mary's.	<SOS> टम मेरीको पूर्व विद्यार्थी हो। <EOS>
tom is good at baking gingerbread.	<SOS> टम जिंजरब्रेड पकाउने मा राम्रो छ। <EOS>
tom is likely to be here tomorrow.	<SOS> टम भोलि यहाँ हुने सम्भावना छ। <EOS>
tom is no longer mary's boyfriend.	<SOS> टम अब मेरीको प्रेमी रहेन। <EOS>
tom isn't from around here, is he?	<SOS> टम यहाँ वरिपरिबाट होइन, हो? <EOS>
tom left the hospital immediately.	<SOS> टमले तुरुन्तै अस्पताल छोड्यो। <EOS>
tom put something in mary's drink.	<SOS> टमले मेरीको पेय पदार्थमा केही राख्यो। <EOS>
tom said he had something for you.	<SOS> टमले तिम्रो लागि केही छ भन्यो। <EOS>
tom said he would quit doing that.	<SOS> टमले त्यसो गर्न छोड्ने बताए। <EOS>
tom said that mary was very drunk.	<SOS> टमले मेरी धेरै मातेको बताए। <EOS>
tom speaks french as well as mary.	<SOS> टम फ्रेन्च बोल्छन् र मेरी पनि। <EOS>
tom threw a chair across the room.	<SOS> टमले कोठाभरि कुर्सी फ्याँक्यो। <EOS>
tom told mary to try to keep calm.	<SOS> टमले मेरीलाई शान्त रहन कोसिस गर्न भने। <EOS>
tom urged mary to drive carefully.	<SOS> टमले मेरीलाई सावधानीपूर्वक गाडी चलाउन आग्रह गरे। <EOS>
tom was dating mary in those days.	<SOS> टम ती दिनहरूमा मेरीलाई डेट गर्दै थिए। <EOS>
tom was dating mary in those days.	<SOS> टम त्यतिबेला मेरीसँग डेट गर्दै थिए। <EOS>
tom was sitting alone in his room.	<SOS> टम आफ्नो कोठामा एक्लै बसिरहेको थियो। <EOS>
tom wasn't wearing a blue sweater.	<SOS> टमले निलो स्वेटर लगाएको थिएन। <EOS>
tom works every day except monday.	<SOS> टम सोमबार बाहेक हरेक दिन काम गर्दछ। <EOS>
tom works every day except monday.	<SOS> टम सोमबार बाहेक हरेक दिन काम गर्छ। <EOS>
we'll all be dead in thirty years.	<SOS> तीस वर्षमा हामी सबै मर्नेछौं। <EOS>
where did you buy your motorcycle?	<SOS> तपाईले आफ्नो मोटरसाइकल कहाँ किन्नुभयो? <EOS>
why don't you ask tom to help you?	<SOS> तपाईं किन टमलाई मद्दत गर्न आग्रह गर्नुहुन्न? <EOS>
why is it important to save money?	<SOS> किन पैसा बचत गर्न महत्त्वपूर्ण छ? <EOS>
you've always been a quiet person.	<SOS> तपाईं सधैं शान्त व्यक्ति हुनुहुन्छ। <EOS>
bangkok is the capital of thailand.	<SOS> बैंकक थाइल्याण्डको राजधानी हो। <EOS>
being with you makes me feel happy.	<SOS> तिम्रो साथमा हुँदा मलाई खुसी लाग्छ। <EOS>
